[ 2025-05-26 22:01:40,219 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-26 22:01:49,166 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-26 22:01:49,166 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-26 22:01:49,166 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-26 22:01:49,211 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-26 22:01:49,211 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-26 22:01:49,229 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-26 22:01:49,278 ] 32 root - INFO - Required number of columns:2
[ 2025-05-26 22:01:49,278 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-26 22:01:49,278 ] 32 root - INFO - Required number of columns:2
[ 2025-05-26 22:01:49,278 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-26 22:01:49,419 ] 28 root - INFO - data Validation Completed
[ 2025-05-26 22:01:49,419 ] 31 root - INFO - data Transformation started
[ 2025-05-26 22:01:49,419 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-26 22:01:49,419 ] 65 root - INFO - Starting data transformation
[ 2025-05-26 22:01:49,454 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-26 22:01:49,454 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-26 22:01:49,469 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 22:01:49,470 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 22:01:49,470 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 22:01:49,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 22:01:49,477 ] 35 root - INFO - data Transformation completed
[ 2025-05-26 22:01:49,477 ] 37 root - INFO - Model Training sstared
